1,2000
2,2000
3,2000
4,2000
5,2000
6,2000
7,2000
8,2000
9,2000
10,2000
11,2000
12,2000
13,2000
14,2000
15,2000
16,2000
17,2000
18,2000
19,2000
20,2000
21,1995
22,1990
23,1985
24,1980
25,1975
26,1970
27,1965
28,1960
29,1955
30,1950
31,1945
32,1940
33,1935
34,1930
35,1925
36,1920
37,1915
38,1910
39,1905
40,1900
41,1895
42,1890
43,1885
44,1880
45,1875
46,1870
47,1865
48,1860
49,1855
50,1850
51,1845
52,1840
53,1835
54,1830
55,1825
56,1820
57,1815
58,1810
59,1805
60,1800
61,1795
62,1790
63,1785
64,1780
65,1775
66,1770
67,1765
68,1760
69,1755
70,1750
71,1745
72,1740
73,1735
74,1730
75,1725
76,1720
77,1715
78,1710
79,1705
80,1700
81,1695
82,1690
83,1685
84,1680
85,1675
86,1670
87,1665
88,1660
89,1655
90,1650
91,1645
92,1640
93,1635
94,1630
95,1625
96,1620
97,1615
98,1610
99,1605
100,1600
101,1595
102,1590
103,1585
104,1580
105,1575
106,1570
107,1565
108,1560
109,1555
110,1550
111,1545
112,1540
113,1535
114,1530
115,1525
116,1520
117,1515
118,1510
119,1505
120,1500
121,1495
122,1490
123,1485
124,1480
125,1475
126,1470
127,1465
128,1460
129,1455
130,1450
131,1445
132,1440
133,1435
134,1430
135,1425
136,1420
137,1415
138,1410
139,1405
140,1400
141,1395
142,1390
143,1385
144,1380
145,1375
146,1370
147,1365
148,1360
149,1355
150,1350

